date,open,high,low,close,volume
2025-09-18,3659.68,3672.97,3627.95,3644.44,287457.0
2025-09-19,3643.15,3685.26,3632.38,3685.03,263053.0
2025-09-22,3687.73,3748.83,3683.72,3746.88,278622.0
2025-09-23,3746.94,3791.14,3736.71,3764.19,325304.0
2025-09-24,3765.26,3779.31,3717.5,3736.11,265226.0
2025-09-25,3739.6,3761.65,3722.14,3749.37,297227.0
2025-09-26,3747.21,3783.75,3734.49,3761.53,280238.0
2025-09-29,3764.87,3834.22,3763.47,3833.89,326805.0
2025-09-30,3832.16,3871.72,3793.22,3858.43,314866.0
2025-10-01,3860.11,3895.39,3853.4,3865.63,304486.0
2025-10-02,3864.54,3897.07,3819.47,3856.42,286959.0
2025-10-03,3857.07,3891.75,3838.05,3886.58,267881.0
2025-10-06,3887.76,3970.14,3884.13,3961.01,357816.0
2025-10-07,3960.55,3991.07,3940.96,3984.55,364419.0
2025-10-08,3986.25,4059.25,3984.48,4041.61,351197.0
2025-10-09,4036.35,4058.06,3944.68,3976.24,448721.0
2025-10-10,3977.38,4022.87,3947.1,4019.07,468451.0
2025-10-13,4013.04,4117.23,4007.09,4110.65,366346.0
2025-10-14,4113.08,4179.79,4090.4,4142.13,455482.0
2025-10-15,4140.75,4218.28,4140.66,4208.27,358808.0
2025-10-16,4212.68,4330.79,4199.7,4326.11,392927.0
2025-10-17,4337.01,4379.8,4186.1,4247.21,547692.0
2025-10-20,4264.21,4381.62,4219.07,4356.43,426713.0
2025-10-21,4363.96,4375.45,4081.13,4124.95,499658.0
2025-10-22,4122.57,4161.44,4004.15,4098.48,511744.0
2025-10-23,4110.65,4154.87,4066.19,4126.01,378624.0
2025-10-24,4126.16,4144.4,4044.21,4113.02,357497.0
2025-10-27,4083.59,4109.04,3971.26,3981.42,394524.0
2025-10-28,3988.71,4019.84,3886.52,3952.75,372785.0
2025-10-29,3955.08,4030.18,3915.39,3930.35,406458.0
2025-10-30,3921.32,4027.16,3915.49,4024.39,440061.0
2025-10-31,4021.07,4046.38,3972.4,4003.3,410824.0
2025-11-03,3995.84,4030.59,3962.58,4001.38,365572.0
2025-11-04,4004.94,4004.94,3928.77,3931.97,360030.0
2025-11-05,3937.48,3990.48,3929.5,3979.1,279021.0
2025-11-06,3968.81,4019.6,3964.63,3977.15,308629.0
2025-11-07,3979.11,4027.46,3978.31,4001.28,272242.0
2025-11-10,4006.43,4116.6,4004.33,4115.92,321677.0
2025-11-11,4116.8,4149.05,4097.08,4126.86,289236.0
2025-11-12,4130.75,4211.82,4098.89,4195.56,377393.0
2025-11-13,4202.85,4245.14,4145.37,4171.41,440782.0
2025-11-14,4177.09,4211.29,4032.2,4084.99,468083.0
2025-11-17,4077.5,4106.72,4006.92,4045.72,361726.0
2025-11-18,4050.79,4082.33,3997.94,4067.57,370783.0
2025-11-19,4067.15,4132.86,4055.5,4077.94,407968.0
2025-11-20,4088.23,4110.19,4038.89,4077.41,463152.0
2025-11-21,4073.66,4101.18,4022.31,4065.84,430454.0
2025-11-24,4067.51,4139.9,4040.12,4134.73,309583.0
2025-11-25,4135.43,4159.37,4109.74,4130.78,312025.0
2025-11-26,4134.35,4173.44,4129.88,4163.88,282976.0
2025-11-27,4164.9,4168.6,4142.79,4157.35,202334.0
2025-11-28,4159.48,4226.57,4156.23,4219.03,176710.0
2025-12-01,4225.99,4264.53,4205.48,4232.23,445424.0
2025-12-02,4231.55,4235.99,4163.93,4205.74,359765.0
2025-12-03,4202.71,4241.57,4194.65,4203.2,384578.0
2025-12-04,4206.56,4219.41,4174.97,4208.88,397670.0
2025-12-05,4209.03,4259.35,4192.06,4196.54,363538.0
2025-12-08,4204.19,4219.05,4176.21,4190.71,349464.0
2025-12-09,4191.7,4221.35,4170.05,4208.27,388611.0
2025-12-10,4209.01,4238.67,4181.98,4228.67,378090.0
2025-12-11,4228.34,4285.97,4204.35,4279.67,371040.0
