report_date_as_yyyy_mm_dd,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,report_date
2019-08-27T00:00:00.000,636183,362609,65771,148866,482672,2019-08-27
2019-09-03T00:00:00.000,634358,365385,64838,147717,485458,2019-09-03
2019-09-10T00:00:00.000,614753,334114,64389,156061,461672,2019-09-10
2019-09-17T00:00:00.000,630990,341511,58912,163008,481407,2019-09-17
2019-09-24T00:00:00.000,658944,370393,57949,163585,508730,2019-09-24
2019-10-01T00:00:00.000,604885,322800,53807,163050,466738,2019-10-01
2019-10-08T00:00:00.000,616957,334383,58820,167755,478697,2019-10-08
2019-10-15T00:00:00.000,607387,319370,66343,167700,455975,2019-10-15
2019-10-22T00:00:00.000,625528,322917,63785,171329,466686,2019-10-22
2019-10-29T00:00:00.000,643442,335423,58908,176997,478213,2019-10-29
2019-11-05T00:00:00.000,690181,344591,64763,181688,498826,2019-11-05
2019-11-12T00:00:00.000,708463,323189,56123,210067,511535,2019-11-12
2019-11-19T00:00:00.000,719211,337296,51437,206626,525721,2019-11-19
2019-11-26T00:00:00.000,669268,325286,53652,191548,497015,2019-11-26
2019-12-03T00:00:00.000,701016,346525,55820,203920,526707,2019-12-03
2019-12-10T00:00:00.000,690003,329169,58249,203374,505657,2019-12-10
2019-12-17T00:00:00.000,716987,344493,58218,202432,521051,2019-12-17
2019-12-24T00:00:00.000,748737,364310,58658,203204,543600,2019-12-24
2019-12-31T00:00:00.000,786166,381620,53695,202925,569416,2019-12-31
2020-01-07T00:00:00.000,785857,383480,61189,202452,558533,2020-01-07
2020-01-14T00:00:00.000,796883,376809,57574,221358,571177,2020-01-14
2020-01-21T00:00:00.000,793829,374793,57098,212445,564348,2020-01-21
2020-01-28T00:00:00.000,715539,376401,46309,192300,553114,2020-01-28
2020-02-04T00:00:00.000,654572,355909,56103,176786,508473,2020-02-04
2020-02-11T00:00:00.000,658024,356535,48561,181629,519420,2020-02-11
